job_title,company_name,city,location,salary,salary_currency,seniority_level,experience_required,employment_type,remote_type,industry,education_required,has_equity,has_bonus,has_remote_benefits,skills_required,job_description,job_link,job_id,source_website,dedup_key,is_faang,cost_of_living_index,date_posted_raw,applicant_count,currency,company_rating,salary_estimate_type
Senior Machine Learning Engineer - Energy,DNV,"Seattle, WA, USA","Hybrid work in Seattle, WA","$150,000 USD/yr",USD,Senior (5+ years),5 years,Full Time,Hybrid,,Bachelor,0,0,True,"Python, SQL, Machine Learning, Scikit-learn, Azure, Spark, Data Science, ML, AI, CI/CD, DevOps","About us We are the independent expert in assurance and risk management. Driven by our purpose, to safeguard life, property, and the environment, we empower our customers and their stakeholders with facts and reliable insights so that critical decisions can be made with confidence. As a trusted voice for many of the world s most successful organizations, we use our knowledge to advance safety and performance, set industry benchmarks, and inspire and invent solutions to tackle global transformations. About Energy Systems We help customers navigate the complex transition to a decarbonized and more sustainable energy future. We do this by assuring that energy systems work safely and effectively, using solutions that are increasingly digital. We also help industries and governments to navigate the many complex, interrelated transitions taking place globally and regionally, in the energy industry. About the role Energy Management s Analytics & Data Science team works to accelerate the transition toward a carbon-free future through software and analytics. We are looking for a Senior Machine Learning Engineer to help us accomplish this mission. Working with the Analytics & Data Science team in DNV Energy Management s Technology group is more than just a job; it s an opportunity to be part of a collaborative community where you can learn, grow, and thrive. Join a dynamic and diverse technology team that values innovation, impact, and sustainability. Help us bridge the gap between advanced analytics systems and user-facing web applications that support demand side management, demand flexibility, and transportation electrification programs! This role is based at our DNV offices in Albuquerque, NM; Arlington, VA; Austin, TX; Columbus, OH; Dallas, TX; Des Moines, IA; Jersey City, NJ; Helena, MT; Houston, TX; Irvine, CA; Lansing, MI; Las Vegas, NV; Medford, MA; Miami, FL; Madison, WI; New York Broadway, NY; Oakland, CA; Portland, OR; Phoenix, AZ; Portland, ME; Oak Brook, IL; San Diego, CA; Santa Clara, CA; Seattle, WA; Troy, NY; Middletown, CT; and North Andover, MA, presenting a dynamic hybrid schedule where employees will typically spend three (3) days per week working from a DNV office. Further details regarding role specific requirements will be shared during the interview process. Other DNV offices may also be considered. What You'll Do: As a Senior Machine Learning Engineer, Energy Systems, you will build and deploy scalable machine learning solutions that support utilities, renewable developers, grid operators, and clean energy programs. You will partner with data scientists, data engineers, analytics engineers, and software developers from the US and internationally to take models from experimentation to production, ensuring they are performant, reliable, and impactful in the energy domain. This position will coordinate and collaborate across multiple time zones. Your work will directly enable data-driven decisions that improve grid reliability, increase energy efficiency, accelerate decarbonization, and support the clean energy transition. Applications must clearly demonstrate relevant, hands-on experience in both ML engineering. Direct experience working with energy systems, utilities, grid operations, renewable energy, energy efficiency programs, or energy-market data is strongly preferred. What we offer Generous paid time off (vacation, sick days, company holidays, personal days) Multiple Medical and Dental benefit plans to choose from, Vision benefits Spending accounts FSA, Dependent Care, Commuter Benefits, company-seeded HSA Employer-paid, therapist-led, virtual care services through Talkspace 401(k) with company match Company provided life insurance, short-term, and long-term disability benefits Education reimbursement program Flexible work schedule with hybrid opportunities Charitable Matched Giving and Volunteer Rewards through our Impact Program Volunteer time off (VTO) paid by the company Career advancement opportunities **Benefits vary based on position, tenure, location, and employee election** For California, Washington, New York, Washington, D.C., Illinois, and Maryland: DNV provides a reasonable range of compensation for this role. The actual compensation is influenced by a wide array of factors, including but not limited to skill set, level of experience, and specific location. For the states of California, Washington, New York, Washington, D.C., Illinois, and Maryland only, the starting pay range for this role is $145,000 - $155,000. DNV is a proud equal opportunity employer committed to building an inclusive and diverse workforce. All employment is decided on the basis of qualifications, merit, or business need, without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status. DNV is committed to ensuring equal employment opportunity, including providing reasonable accommodations to individuals with a disability. ",https://www.indeed.com/rc/clk?jk=4173afb3af02e847&bb=QtfptQFsClqwCG4dFdhnY1HSpoa_38vSHpmZh8k34OIyu8HZ5--piuWgORx59xLwocGXkIcAMMsJ1y8JTPqRO9aknznorLk5KYY1qA8gAKdjL1lkLCMFded3lyVheYbw&xkcb=SoB-67M3lNbBjhRSwh0LbzkdCdPP&fccid=621355d16566db19&vjs=3,4173afb3af02e847,Indeed,74a12244c766,0,88,,,USD,,
Software Engineer I,"Twitch Interactive, Inc. - D48","San Francisco, CA, USA","San Francisco, CA",,USD,,,,On-site,,,False,False,False,,,https://www.indeed.com/rc/clk?jk=bb4c4446b1deb934&bb=QxE3bi-WOGpx-Nu4mz7xPVYKa4m4wYfOrq_t1mfvbjKtgJUMBXcTtFkplQSa4KLg-vOmQcFe_muLgeyVnAHuhkQ8Z2-SRSmveXAss9ednoAMzb9LstqJuFjMUjxxMwtu&xkcb=SoCH67M3lNFc7KgDM70abzkdCdPP&fccid=fe2d21eef233e94a&vjs=3,bb4c4446b1deb934,Indeed,733253df8c55,0,105,,,USD,,
"Associate Director, AI Solutions Scientist",Otsuka,"New York, NY, USA","Princeton, NJ 08540",,USD,Director (8+ years),8+ years,,On-site,,,False,False,False,,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DV4OzDSN6W6VQ8enVPkSjbdnuosbeF5NM69Es9VMjvb3bs8Bz2G_dTvyXd2dCk-xKdIa_oLngfJ4P4oiuuXA73hT4h8uXWYkYznfvW8NR-xngk9v-UvxaN8tygQ6LEwpvStNByOqwAxeiFR0oMOgpg3McQVnQatB6tioyAtDChUMElDEAL3vXRtQdZZgGFVCX6Y60EfhN0uXDjkdP2TdznSq4cTOyWbfQWXtmyuJGRY2Xo3igE44OaIaf1rLjpIvrcGoEe-DdjGGN8nqIZDBud7RWF7-QDa-_0ZiQOL_RAn6nmlZEDKz7J2d3KtQt64didZ4rbCVWjyWgBHn3Rwm9OK-0Nwhzhe6v4rJvu5UfY9BCMHPiWS8RO_9tLx-Q6l8_q3_urSbhIFmcxH826qYXdA7S3mkAWXKt75utwR2HUrnGvXW73u88BgjO4i8TuJtgQ3GarJ-Y51PWyipLeOiuML8fJob_tm2O1X0ma8ZLIeKc7Scyw2_qp_RyP8JPnr4u5JMkgZWw8NPGPrRAF2J1krIhaTENL_uCSu1i69XvHVziKhe3JD1QLSZwgYkoQ4mcbpw3pu-bYH-krOVQuQY3kHTxWmrshxvYqluCVd4hmh72Gk23xaNPaqn5SrrYsfEb4TBQesuw4TomqrjrCfTNg5f4jgBMXtYV30guuXKp5MRAEj5aaSJaUGua8UZnlrVPdAfYy8LvOQPHhHVh8jPFVEgNSAQBbbJOgMAqxrOwKX18Gujwm28VlKAGxtUw98EmmDs7Ljpg9uA27jgXwdrKismDMBS_zbyMQfUZWExLULA==&xkcb=SoDK6_M3lNDyQKRXRh0IbzkdCdPP&camk=ethIe0s0hedrfSHRK7Abcg==&p=3&fvj=0&vjs=3,,Indeed,2f74cb05872e,0,100,,,USD,,
Data Scientist - AI Trainer,DataAnnotation,"New York, NY, USA","Bridgewater, NJ",,USD,Mid-Level (2-5 years),2-5 years,,On-site,,,False,False,False,,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CnM4TERr6XuVBW3VTRACvDXDx9S3Pbn6a0SwhkmoLTiNI2ch15tovdzhis_q4uZGRjE42zkfK1Y9NGOO_CgYbDbRdPpId8UB9M_iHwntmXhP1rV1CSPnv3VoeGFY-BiaTJ8Yy7qnsw7YhTm_tYPqwpgZk3-jl3vuYP0ZlQZzq9Ed6YxOiUhFyJ4bBMegdthVYWPEwSGJstNzprYLpZgVKUGENF4dI8lRzi0LbzsYneuxwhxc8cVwd0z4KvItPYcJo60mpQsD6sdP47c_0cMUpQfnzmmLv1C08hzjbmF6ArTGjng0zso7MBdg5TNgnD3Ta2IvL_BOtTvIHfwcwr6vVmZLrBPqqYqyjl3Qyt1Wh5RmT2gppQjO6KHDjx0iseN6DAY1p5Yd3C0J8AShB9B6EhWmM8r5Mz3-ZlRBZJsl10Ku4ijy9Wa7ugCC-dhk-8W0pia_5XDu980ni5-LvfQeLQdREWtPNkETQl8CL4Y4CLco8mlf33ubh-PWuweA_vQzr_YgK6g4ACb26eP9g5LJ7k0zvsPo069zK0UbFuNwCeD1ilfo5POBdrktR1_-PYbkJ9RZaghm8FO97CVxHmrQAbRIVv44osXTCK6P4AnElX8Kzt90dj-XpU2upVsF5WmsOTf3iwl_jJTds4co2LdfZ9oDwp07YTR1dnCQQzgwtH88JfhtKM8dtnwAtsP4OYyxFwypu27x1bcA0SPtXf-iAIZC5SGaruha5HrMO5IdjFcq7Q-7254z-bjzAf7xxKq4vyNm0LxLIQVYAbvpSO4KjUpa_5cq2yThh7MDAhtSGGqIo5Cq_kGQQ88l90yRSQzSAvPBwNRjZQBUMtrYbb6YzcpKR85jrL-JaPmTnHBoX6hVjNdRstcK9rhPQFecy7wie2ZDbNBvyk9aviRCVrqi_o--Cd4Z3wpTI=&xkcb=SoDw6_M3lNDyQKRXRh0ObzkdCdPP&camk=UoKtGZLa3XK1hP0JgBWHqw==&p=5&fvj=0&vjs=3,,Indeed,5841034d2256,0,100,,,USD,,
"Principal Applied Scientist, Advertiser Growth, Amazon Sponsored Products & Brands",Amazon.com Services LLC,"New York, NY, USA","New York, NY",,USD,Staff (8+ years),8+ years,,On-site,,,False,False,False,,,https://www.indeed.com/rc/clk?jk=83706a04b94e1b5e&bb=2Lpgv48ejf9Ek48Gt0kcFgfk-VelsYGxt4ISFYQbmCwTmApsR-Jl0tdQADs4oWRjuFIIImuswahC4_gYeyFUdJn-4F0g0A60ypMq9AGqOPMq0wyZ4-kAUAAiIvGB7a2b&xkcb=SoAt67M3lNDyQKRXRh0MbzkdCdPP&fccid=fe2d21eef233e94a&vjs=3,83706a04b94e1b5e,Indeed,fb9f979c5b13,0,100,,,USD,,
"Principal Applied Scientist, Sponsored Products and Brands",Amazon.com Services LLC,"New York, NY, USA","New York, NY",,USD,Staff (8+ years),8+ years,,On-site,,,False,False,False,,,https://www.indeed.com/rc/clk?jk=1b64e8598f12b954&bb=2Lpgv48ejf9Ek48Gt0kcFg5J230K--h25Flx98aLJAqDNmErJuP1H9yNm9aNVyrv_a4k0QrkjLFlcOSHgHQTVccpubVr7CQ6xf7ggT_U1YM8oju9Fz3VTa_-sXJTBKCR&xkcb=SoBw67M3lNDyQKRXRh0CbzkdCdPP&fccid=fe2d21eef233e94a&vjs=3,1b64e8598f12b954,Indeed,8c04707f0d3f,0,100,,,USD,,
"Sr. Applied Scientist, Sponsored Products",Amazon.com Services LLC,"New York, NY, USA","New York, NY",,USD,Senior (5+ years),5+ years,,On-site,,,False,False,False,,,https://www.indeed.com/rc/clk?jk=3919649048cbcedf&bb=2Lpgv48ejf9Ek48Gt0kcFnWHptYhbe6nKeW1lMP034UNtM8cwvQmamXltyeGdxS6_TP6PDdLG60tgBzpQp1lLKJ_4aXK6aLNPVURJCY2k1m7qh_k2SI3R3z-fVKA4VeB&xkcb=SoDX67M3lNDyQKRXRh0HbzkdCdPP&fccid=fe2d21eef233e94a&vjs=3,3919649048cbcedf,Indeed,fa1dcef3525d,0,100,,,USD,,
"Applied Scientist, AWS Applied AI Solutions","Amazon Web Services, Inc.","New York, NY, USA","New York, NY",,USD,Mid-Level (2-5 years),2-5 years,,On-site,,,False,False,False,,,https://www.indeed.com/rc/clk?jk=b2cff75c4685fa57&bb=2Lpgv48ejf9Ek48Gt0kcFm475D1ac4cXOZpR_EJVXor0PTEOavx26RE5YTSzPwgkObVZ5Mmn-igmZzi4QaV7ilYOBJlGClzJEJ7MROw16XoMiq0zxjCrIGHElw8T0pRp&xkcb=SoBj67M3lNDyQKRXRh0GbzkdCdPP&fccid=5cc0cdc6dbb121cc&vjs=3,b2cff75c4685fa57,Indeed,9b90189035ca,0,100,,,USD,,
"Principal Applied Scientist, Delivery Foundation Model",Amazon.com Services LLC,"New York, NY, USA","New York, NY",,USD,Staff (8+ years),8+ years,,On-site,,,False,False,False,,,https://www.indeed.com/rc/clk?jk=b3a3ea4cad3193d1&bb=2Lpgv48ejf9Ek48Gt0kcFmxcu0jFb1D5L7Fmd0YGm00A1NWTM5aeP6HXJIpFjH4dNDCtqZuPD-SeJApNIW3AdHwrVHOeM_1fUAk8DPxrGE7kHUV-fh3neUYcpjBtX0IB&xkcb=SoD-67M3lNDyQKRXRh0FbzkdCdPP&fccid=fe2d21eef233e94a&vjs=3,b3a3ea4cad3193d1,Indeed,ba9502d74db8,0,100,,,USD,,
"Principal Applied Scientist, Measurement, AdTech and Data Science, Ads Performance Measurement",Amazon.com Services LLC,"New York, NY, USA","New York, NY",,USD,Staff (8+ years),8+ years,,On-site,,,False,False,False,,,https://www.indeed.com/rc/clk?jk=c3252397c0ac0bba&bb=2Lpgv48ejf9Ek48Gt0kcFkoxv2mm8zd6B0lB7-46DGmZRecUHpQqo50HO0XJXRULei9azCtULbBZeHUGM4BG269aXBML6f4P_yEKwpG36cNd9mvt6Nt-mVQlrh3ms7HR&xkcb=SoBK67M3lNDyQKRXRh0EbzkdCdPP&fccid=fe2d21eef233e94a&vjs=3,c3252397c0ac0bba,Indeed,aac303a6c64f,0,100,,,USD,,
